"month","production_type","gwh"
"2020M11","Vindkraft","3120"
"2020M11","Vattenkraft","6198"
"2020M11","Karnkraft","3590"
"2020M11","Solkraft","16"
"2020M12","Total","15095"
"2020M12","VarmekrEjF","201"
"2020M12","VarmekrF","1208"
"2020M12","Vindkraft","2036"
"2020M12","Vattenkraft","7120"
"2020M12","Karnkraft","4527"
"2020M12","Solkraft","3"
"2021M01","Total","16556"
"2021M01","VarmekrEjF","341"
"2021M01","VarmekrF","1478"
"2021M01","Vindkraft","1628"
"2021M01","Vattenkraft","8101"
"2021M01","Karnkraft","5000"
"2021M01","Solkraft","8"
"2021M02","Total","15478"
"2021M02","VarmekrEjF","322"
"2021M02","VarmekrF","1260"
"2021M02","Vindkraft","2414"
"2021M02","Vattenkraft","6814"
"2021M02","Karnkraft","4644"
"2021M02","Solkraft","24"
"2021M03","Total","15984"
"2021M03","VarmekrEjF","177"
"2021M03","VarmekrF","1345"
"2021M03","Vindkraft","3015"
"2021M03","Vattenkraft","6325"
"2021M03","Karnkraft","5040"
"2021M03","Solkraft","82"
"2021M04","Total","14908"
"2021M04","VarmekrEjF","152"
"2021M04","VarmekrF","1112"
"2021M04","Vindkraft","2701"
"2021M04","Vattenkraft","5870"
"2021M04","Karnkraft","4929"
"2021M04","Solkraft","144"
"2021M05","Total","12702"
"2021M05","VarmekrEjF","171"
"2021M05","VarmekrF","877"
"2021M05","Vindkraft","1491"
"2021M05","Vattenkraft","6255"
"2021M05","Karnkraft","3772"
"2021M05","Solkraft","136"
"2021M06","Total","11062"
"2021M06","VarmekrEjF","159"
"2021M06","VarmekrF","660"
"2021M06","Vindkraft","1356"
"2021M06","Vattenkraft","5380"
"2021M06","Karnkraft","3326"
"2021M06","Solkraft","181"
"2021M07","Total","11497"
"2021M07","VarmekrEjF","142"
"2021M07","VarmekrF","680"
"2021M07","Vindkraft","1555"
"2021M07","Vattenkraft","5468"
"2021M07","Karnkraft","3462"
"2021M07","Solkraft","190"
"2021M08","Total","11631"
"2021M08","VarmekrEjF","111"
"2021M08","VarmekrF","754"
"2021M08","Vindkraft","1899"
"2021M08","Vattenkraft","5493"
"2021M08","Karnkraft","3217"
"2021M08","Solkraft","157"
"2021M09","Total","12056"
"2021M09","VarmekrEjF","155"
"2021M09","VarmekrF","864"
"2021M09","Vindkraft","2228"
"2021M09","Vattenkraft","4980"
"2021M09","Karnkraft","3721"
"2021M09","Solkraft","108"
"2021M10","Total","14261"
"2021M10","VarmekrEjF","143"
"2021M10","VarmekrF","979"
"2021M10","Vindkraft","3335"
"2021M10","Vattenkraft","5377"
"2021M10","Karnkraft","4369"
"2021M10","Solkraft","58"
"2021M11","Total","15600"
"2021M11","VarmekrEjF","193"
"2021M11","VarmekrF","1287"
"2021M11","Vindkraft","2864"
"2021M11","Vattenkraft","6283"
"2021M11","Karnkraft","4949"
"2021M11","Solkraft","24"
"2021M12","Total","17259"
"2021M12","VarmekrEjF","327"
"2021M12","VarmekrF","1649"
"2021M12","Vindkraft","2997"
"2021M12","Vattenkraft","7263"
"2021M12","Karnkraft","5015"
"2021M12","Solkraft","8"
"2022M01","Total","17154"
"2022M01","VarmekrEjF","209"
"2022M01","VarmekrF","1571"
"2022M01","Vindkraft","4222"
"2022M01","Vattenkraft","6167"
"2022M01","Karnkraft","4957"
"2022M01","Solkraft","28"
"2022M02","Total","15543"
"2022M02","VarmekrEjF","144"
"2022M02","VarmekrF","1347"
"2022M02","Vindkraft","3637"
"2022M02","Vattenkraft","6010"
"2022M02","Karnkraft","4349"
"2022M02","Solkraft","56"
"2022M03","Total","16272"
"2022M03","VarmekrEjF","186"
"2022M03","VarmekrF","1467"
"2022M03","Vindkraft","3320"
"2022M03","Vattenkraft","5979"
"2022M03","Karnkraft","5124"
"2022M03","Solkraft","196"
"2022M04","Total","14079"
"2022M04","VarmekrEjF","170"
"2022M04","VarmekrF","1255"
"2022M04","Vindkraft","2236"
"2022M04","Vattenkraft","5705"
"2022M04","Karnkraft","4490"
"2022M04","Solkraft","223"
"2022M05","Total","13122"
"2022M05","VarmekrEjF","165"
"2022M05","VarmekrF","988"
"2022M05","Vindkraft","2769"
"2022M05","Vattenkraft","5178"
"2022M05","Karnkraft","3761"
"2022M05","Solkraft","261"
"2022M06","Total","12106"
"2022M06","VarmekrEjF","160"
"2022M06","VarmekrF","760"
"2022M06","Vindkraft","1856"
"2022M06","Vattenkraft","5379"
"2022M06","Karnkraft","3677"
"2022M06","Solkraft","274"
"2022M07","Total","13147"
"2022M07","VarmekrEjF","150"
"2022M07","VarmekrF","715"
"2022M07","Vindkraft","2251"
"2022M07","Vattenkraft","5650"
"2022M07","Karnkraft","4096"
"2022M07","Solkraft","285"
"2022M08","Total","13172"
"2022M08","VarmekrEjF","154"
"2022M08","VarmekrF","752"
"2022M08","Vindkraft","1938"
"2022M08","Vattenkraft","5778"
"2022M08","Karnkraft","4264"
"2022M08","Solkraft","286"
"2022M09","Total","12257"
"2022M09","VarmekrEjF","135"
"2022M09","VarmekrF","837"
"2022M09","Vindkraft","2001"
"2022M09","Vattenkraft","5710"
"2022M09","Karnkraft","3374"
"2022M09","Solkraft","200"
"2022M10","Total","13746"
"2022M10","VarmekrEjF","140"
"2022M10","VarmekrF","920"
"2022M10","Vindkraft","3472"
"2022M10","Vattenkraft","5188"
"2022M10","Karnkraft","3912"
"2022M10","Solkraft","114"
"2022M11","Total","13942"
"2022M11","VarmekrEjF","173"
"2022M11","VarmekrF","1120"
"2022M11","Vindkraft","2281"
"2022M11","Vattenkraft","6303"
"2022M11","Karnkraft","4033"
"2022M11","Solkraft","32"
"2022M12","Total","15319"
"2022M12","VarmekrEjF","304"
"2022M12","VarmekrF","1461"
"2022M12","Vindkraft","3069"
"2022M12","Vattenkraft","6490"
"2022M12","Karnkraft","3987"
"2022M12","Solkraft","8"
"2023M01","Total","15958"
"2023M01","VarmekrEjF","178"
"2023M01","VarmekrF","1380"
"2023M01","Vindkraft","3991"
"2023M01","Vattenkraft","6068"
"2023M01","Karnkraft","4311"
"2023M01","Solkraft","30"
"2023M02","Total","15225"
"2023M02","VarmekrEjF","196"
"2023M02","VarmekrF","1281"
"2023M02","Vindkraft","4042"
"2023M02","Vattenkraft","5737"
"2023M02","Karnkraft","3868"
"2023M02","Solkraft","101"
"2023M03","Total","15692"
"2023M03","VarmekrEjF","190"
"2023M03","VarmekrF","1385"
"2023M03","Vindkraft","3395"
"2023M03","Vattenkraft","6530"
"2023M03","Karnkraft","4030"
"2023M03","Solkraft","162"
"2023M04","Total","13291"
"2023M04","VarmekrEjF","153"
"2023M04","VarmekrF","1051"
"2023M04","Vindkraft","2096"
"2023M04","Vattenkraft","5455"
"2023M04","Karnkraft","4171"
"2023M04","Solkraft","365"
"2023M05","Total","12302"
"2023M05","VarmekrEjF","136"
"2023M05","VarmekrF","837"
"2023M05","Vindkraft","2620"
"2023M05","Vattenkraft","4983"
"2023M05","Karnkraft","3147"
"2023M05","Solkraft","579"
"2023M06","Total","10617"
"2023M06","VarmekrEjF","117"
"2023M06","VarmekrF","653"
"2023M06","Vindkraft","1907"
"2023M06","Vattenkraft","3922"
"2023M06","Karnkraft","3461"
"2023M06","Solkraft","557"
"2023M07","Total","10794"
"2023M07","VarmekrEjF","127"
"2023M07","VarmekrF","670"
"2023M07","Vindkraft","2155"
"2023M07","Vattenkraft","3765"
"2023M07","Karnkraft","3616"
"2023M07","Solkraft","461"
"2023M08","Total","11720"
"2023M08","VarmekrEjF","115"
"2023M08","VarmekrF","636"
"2023M08","Vindkraft","1860"
"2023M08","Vattenkraft","5445"
"2023M08","Karnkraft","3362"
"2023M08","Solkraft","302"
"2023M09","Total","11281"
"2023M09","VarmekrEjF","132"
"2023M09","VarmekrF","562"
"2023M09","Vindkraft","3075"
"2023M09","Vattenkraft","4331"
"2023M09","Karnkraft","2878"
"2023M09","Solkraft","303"
"2023M10","Total","14308"
"2023M10","VarmekrEjF","103"
"2023M10","VarmekrF","692"
"2023M10","Vindkraft","3412"
"2023M10","Vattenkraft","5901"
"2023M10","Karnkraft","4027"
"2023M10","Solkraft","173"
"2023M11","Total","15769"
"2023M11","VarmekrEjF","293"
"2023M11","VarmekrF","1060"
"2023M11","Vindkraft","2795"
"2023M11","Vattenkraft","6805"
"2023M11","Karnkraft","4765"
"2023M11","Solkraft","51"
"2023M12","Total","16190"
"2023M12","VarmekrEjF","324"
"2023M12","VarmekrF","1215"
